Group,Name,Type,Target Type,Target ID,Description,Start Date,Start Time,End Date,End Time,Assignees,Depends On Tasks,Subtasks,Progress
13 Week Implementation - Heavy,,,job,,,2026-05-04,,2026-07-31,,,,,0
13 Week Implementation - Heavy,Week 0 - Discovery & Kickoff,Discovery,job,,Track confirmation from Build Complexity Scorecard. Scope confirmation document signed. Kickoff meeting with client team. Heavy track requires elevated leadership and Champion engagement throughout.,2026-05-04,,2026-05-08,,Megan Peyton,,"Deliver Build Complexity Scorecard report; Send Track Assignment & Scope Confirmation document (Heavy track); Receive signed scope confirmation; Schedule weekly meeting cadence; Confirm Success Champion designation and bandwidth; Send Implementation Roadmap to client; Set leadership expectations for condensed rollout cadence; PREP: Collect cost catalog or current line items from client; PREP: Gather customer pipeline logic and current sales process; PREP: Collect user role information and permission desires; PREP: Collect existing document templates (contracts, proposals, etc.); PREP: Gather team roster (names, roles, emails)",0
13 Week Implementation - Heavy; Week 1: Account Foundation,,,job,,,2026-05-11,,2026-05-15,,,,,0
13 Week Implementation - Heavy; Week 1: Account Foundation,Invoice #1,PAYMENT,job,,,2026-05-11,,2026-05-11,,Megan Peyton; Katie Norris,13 Week Implementation - Heavy; Week 0 - Discovery & Kickoff,,0
13 Week Implementation - Heavy; Week 1: Account Foundation,Week 1 - Account Foundation,Deliverable Build,job,,Full cost catalog construction from current operations. Account hygiene baseline established.,2026-05-11,,2026-05-15,,Megan Peyton,13 Week Implementation - Heavy; Week 0 - Discovery & Kickoff,"Construct full cost catalog from operations data; Configure user roles and permissions; Map team to JobTread users; Account hygiene cleanup; Establish naming conventions; Champion training session 1 (~45 min); PREP: Collect existing customer pipeline logic and stages; PREP: Gather current document templates (contracts, proposals, COs); PREP: Collect vendor list and categorization preferences; PREP: Identify any specifications categories needed",0
13 Week Implementation - Heavy; Week 1: Account Foundation,SC: Stepping into the Role,Success Champion Training,job,,"Champion learns what the role requires. Boundaries of the role, naming their own resistance, building the muscle of being a beginner publicly.",2026-05-15,,2026-05-15,,Megan Peyton,13 Week Implementation - Heavy; Week 0 - Discovery & Kickoff,"Review Champion Playbook Chapter 1 with the Champion; Discuss reflection questions: why chosen, strengths, biggest worry, what success looks like; Talk through role boundaries (not the consultant, not the help desk); Discuss how to handle resistance from teammates without taking it personally; Confirm Champion has logged into JobTread and explored on their own; Capture what they committed to this week; PREP: Review Chapter 2 (Owning Your Own Learning) before next session",0
13 Week Implementation - Heavy; Week 2: Pipeline & Templates,,,job,,,2026-05-18,,2026-05-22,,,,,0
13 Week Implementation - Heavy; Week 2: Pipeline & Templates,Week 2 - Pipeline & Templates,Deliverable Build,job,,Customer pipeline build-out. Document template suite development. Vendor records constructed.,2026-05-18,,2026-05-22,,Megan Peyton,13 Week Implementation - Heavy; Week 1: Account Foundation; Week 1 - Account Foundation,"Build customer pipeline stages from sales process; Develop full document template suite; Construct vendor records and categorization; Configure cost inboxing routing; Begin specifications library structure; Champion training session 2 (~45 min); PREP: Collect existing budget data (spreadsheets, examples); PREP: Gather typical assemblies and cost groupings; PREP: Collect plan examples and parameter requirements; PREP: Identify SF formulas or other calculations they use",0
13 Week Implementation - Heavy; Week 2: Pipeline & Templates,SC: Owning Your Own Learning,Success Champion Training,job,,"Champion builds the habit of looking up answers before asking. JobTread help center fluency, when to ask vs when to dig.",2026-05-22,,2026-05-22,,Megan Peyton,13 Week Implementation - Heavy; Week 1: Account Foundation; Week 1 - Account Foundation,"Check accountability: did they complete Week 1 commitment?; Review Champion Playbook Chapter 2 with the Champion; Walk through JobTread help center together — searching, bookmarking; Discuss when to ask vs when to dig; Talk through how to model self-sufficiency for the team; Capture this week commitment: look up at least 3 things in JobTread before asking; PREP: Review Chapter 3 (Holding the Team to New Habits) before next session",0
13 Week Implementation - Heavy; Week 3: The Heartbeat Build,,,job,,,2026-05-25,,2026-05-29,,,,,0
