Group,Name,Type,Target Type,Target ID,Description,Start Date,Start Time,End Date,End Time,Assignees,Depends On Tasks,Subtasks,Progress
13 Week Implementation - Light,,,job,,,2026-05-04,,2026-07-31,,,,,0
13 Week Implementation - Light,Week 0 - Discovery & Kickoff,Discovery,job,,Track confirmation from Build Complexity Scorecard. Scope confirmation document signed. Kickoff meeting with client team. Success Champion identified and committed.,2026-05-04,,2026-05-08,,Megan Peyton,,"Deliver Build Complexity Scorecard report; Send Track Assignment & Scope Confirmation document; Receive signed scope confirmation; Schedule weekly meeting cadence; Confirm Success Champion designation; Send Implementation Roadmap to client; Champion onboarding scheduled; PREP: Collect cost catalog or current line items from client; PREP: Gather customer pipeline logic and current sales process; PREP: Collect user role information and permission desires; PREP: Collect existing document templates (contracts, proposals, etc.); PREP: Gather team roster (names, roles, emails)",0
13 Week Implementation - Light; Week 1: Account Refinement,,,job,,,2026-05-11,,2026-05-15,,,,,0
13 Week Implementation - Light; Week 1: Account Refinement,Invoice #1,PAYMENT,job,,,2026-05-11,,2026-05-11,,Megan Peyton; Katie Norris,13 Week Implementation - Light; Week 0 - Discovery & Kickoff,,0
13 Week Implementation - Light; Week 1: Account Refinement,Week 1 - Account Refinement,Deliverable Build,job,,"Account refinement starts. Cost catalog cleanup, customer pipeline tightening, user roles verified.",2026-05-11,,2026-05-15,,Megan Peyton,13 Week Implementation - Light; Week 0 - Discovery & Kickoff,"Audit and clean cost catalog; Refine customer pipeline stages; Verify and adjust user roles and permissions; Review and refine document templates; Identify gap fills for build phase; Champion training session 1 (~45 min); PREP: Collect existing budget data (spreadsheets, examples); PREP: Gather typical assemblies and cost groupings; PREP: Collect plan examples and parameter requirements; PREP: Identify SF formulas or other calculations they use",0
13 Week Implementation - Light; Week 1: Account Refinement,SC: Stepping into the Role,Success Champion Training,job,,"Champion learns what the role requires. Boundaries of the role, naming their own resistance, building the muscle of being a beginner publicly.",2026-05-15,,2026-05-15,,Megan Peyton,13 Week Implementation - Light; Week 0 - Discovery & Kickoff,"Review Champion Playbook Chapter 1 with the Champion; Discuss reflection questions: why chosen, strengths, biggest worry, what success looks like; Talk through role boundaries (not the consultant, not the help desk); Discuss how to handle resistance from teammates without taking it personally; Confirm Champion has logged into JobTread and explored on their own; Capture what they committed to this week; PREP: Review Chapter 2 (Owning Your Own Learning) before next session",0
13 Week Implementation - Light; Week 2: Account Confirmation,,,job,,,2026-05-18,,2026-05-22,,,,,0
13 Week Implementation - Light; Week 2: Account Confirmation,Week 2 - Account Confirmation,Deliverable Build,job,,Final account review. Customer/job data verified. Success Champion fully trained.,2026-05-18,,2026-05-22,,Megan Peyton,13 Week Implementation - Light; Week 1: Account Refinement; Week 1 - Account Refinement,Verify budget templates are working; Verify schedule templates are working; Verify selections catalog is ready; Load any missing customer/job data; Champion completes full system walkthrough; Champion training session 2 (~45 min); Final pre-rollout account review; PREP: Confirm full team email list for JobTread invitations; PREP: Schedule team kickoff meeting time; PREP: Get leadership signoff on Tier 1 rollout content; PREP: Identify any team members who need extra support,0
13 Week Implementation - Light; Week 2: Account Confirmation,SC: Owning Your Own Learning,Success Champion Training,job,,"Champion builds the habit of looking up answers before asking. JobTread help center fluency, when to ask vs when to dig.",2026-05-22,,2026-05-22,,Megan Peyton,13 Week Implementation - Light; Week 1: Account Refinement; Week 1 - Account Refinement,"Check accountability: did they complete Week 1 commitment?; Review Champion Playbook Chapter 2 with the Champion; Walk through JobTread help center together — searching, bookmarking; Discuss when to ask vs when to dig; Talk through how to model self-sufficiency for the team; Capture this week commitment: look up at least 3 things in JobTread before asking; PREP: Review Chapter 3 (Holding the Team to New Habits) before next session",0
13 Week Implementation - Light; Week 3: Foundation Habits Launch,,,job,,,2026-05-25,,2026-05-29,,,,,0
13 Week Implementation - Light; Week 3: Foundation Habits Launch,Week 3 - Foundation Habits Launch,Deliverable Build,job,,First team rollout. Habit-building tools go live across the whole team. No dependencies on budget — these are the quick adoption wins that establish daily JobTread usage.,2026-05-25,,2026-05-29,,Megan Peyton,13 Week Implementation - Light; Week 2: Account Confirmation; Week 2 - Account Confirmation,"Build slide deck and Loom walkthrough for Messaging, To-Dos, Daily Logs; Send content to leadership for approval; Receive leadership signoff before kickoff; Run live team kickoff session with Success Champion co-leading; Distribute session recording; Mid-week practice check-in with Success Champion; End-of-week adoption review; Document any holdouts or follow-ups; PREP: Confirm budget template is finalized and tested; PREP: Get leadership signoff on budget rollout content; PREP: Identify which estimators/PMs go first; PREP: Prep example budgets for live demo",0
13 Week Implementation - Light; Week 3: Foundation Habits Launch,SC: Holding the Team to New Habits,Success Champion Training,job,,"First team rollout week. Champion learns to be visible, model the tool, handle resistance with curiosity.",2026-05-29,,2026-05-29,,Megan Peyton,13 Week Implementation - Light; Week 2: Account Confirmation; Week 2 - Account Confirmation,"Check accountability: did they complete Week 2 commitment?; Review Champion Playbook Chapter 3 with the Champion; Discuss who showed up and engaged this week, who did not; Talk through the first user effect (leader visibility drives team adoption); Practice deflection: how to say I will get back to you on that; Identify any teammates not logged in. Make a personal outreach plan; Capture commitment: use the new tool in front of at least 3 teammates this week; PREP: Review Chapter 4 (Reading the Room) before next session",0
13 Week Implementation - Light; Week 4: The Heartbeat Begins,,,job,,,2026-06-01,,2026-06-05,,,,,0
13 Week Implementation - Light; Week 4: The Heartbeat Begins,Week 4 - The Heartbeat Begins,Deliverable Build,job,,The heartbeat. Estimators and PMs start using budgets in real work.,2026-06-01,,2026-06-05,,Megan Peyton,13 Week Implementation - Light; Week 3: Foundation Habits Launch; Week 3 - Foundation Habits Launch,Build slide deck and Loom walkthrough for Budgets; Send content to leadership for approval; Receive leadership signoff before kickoff; Run live team kickoff session with Success Champion co-leading; Distribute session recording; Mid-week practice check-in with Success Champion; End-of-week adoption review; Document any holdouts or follow-ups; PREP: Confirm schedule template tested with active job; PREP: Verify parameters tied to budget assemblies; PREP: Get leadership signoff on Plans + Schedules content; PREP: Identify which PMs go first,0
13 Week Implementation - Light; Week 4: The Heartbeat Begins,SC: Reading the Room,Success Champion Training,job,,"Champion learns to see adoption patterns. Reading JobTread activity data, distinguishing struggle from opt-out.",2026-06-05,,2026-06-05,,Megan Peyton,13 Week Implementation - Light; Week 3: Foundation Habits Launch; Week 3 - Foundation Habits Launch,"Check accountability: did they complete Week 3 commitment?; Review Champion Playbook Chapter 4 with the Champion; Walk through JobTread user activity reports together; Identify who is engaging, struggling, and quietly opting out; Discuss the difference between needs help and needs a different conversation; Plan one private low-pressure conversation with a struggling teammate; Capture commitment: have one struggling teammate conversation this week; PREP: Review Chapter 5 (Becoming the Question Person) before next session",0
13 Week Implementation - Light; Week 5: Connecting the Plan,,,job,,,2026-06-08,,2026-06-12,,,,,0
13 Week Implementation - Light; Week 5: Connecting the Plan,Invoice #2,PAYMENT,job,,,2026-06-08,,2026-06-08,,Megan Peyton; Katie Norris,13 Week Implementation - Light; Week 4: The Heartbeat Begins; Week 4 - The Heartbeat Begins,,0
13 Week Implementation - Light; Week 5: Connecting the Plan,Week 5 - Connecting the Plan,Deliverable Build,job,,"Schedules connect to budgets, plans tab activates with parameters.",2026-06-08,,2026-06-12,,Megan Peyton,13 Week Implementation - Light; Week 4: The Heartbeat Begins; Week 4 - The Heartbeat Begins,Build slide deck and Loom walkthrough for Plans + Schedules; Send content to leadership for approval; Receive leadership signoff before kickoff; Run live team kickoff session with Success Champion co-leading; Distribute session recording; Mid-week practice check-in with Success Champion; End-of-week adoption review; Document any holdouts or follow-ups; PREP: Confirm cost codes mapped correctly; PREP: Verify time tracking permissions configured; PREP: Get leadership signoff on time tracking content; PREP: Communicate change to field team in advance,0
13 Week Implementation - Light; Week 5: Connecting the Plan,SC: Becoming the Question Person,Success Champion Training,job,,"Volume of team questions ramping up. Champion learns to triage, redirect, and build internal knowledge base.",2026-06-12,,2026-06-12,,Megan Peyton,13 Week Implementation - Light; Week 4: The Heartbeat Begins; Week 4 - The Heartbeat Begins,"Check accountability: did they complete Week 4 commitment?; Review Champion Playbook Chapter 5 with the Champion; Discuss how the question volume feels, energy levels; Identify repeated questions (training/documentation gaps); Practice triaging: immediate vs can-wait vs redirect-to-help; Help Champion start a running list of unresolved questions; Capture commitment: redirect at least 1 question this week instead of answering it; PREP: Review Chapter 6 (Working with the Heartbeat) before next session",0
13 Week Implementation - Light; Week 6: Closing the Loop,,,job,,,2026-06-15,,2026-06-19,,,,,0
13 Week Implementation - Light; Week 6: Closing the Loop,Week 6 - Closing the Loop,Deliverable Build,job,,Now possible. Time logged against budgets and schedules.,2026-06-15,,2026-06-19,,Megan Peyton,13 Week Implementation - Light; Week 5: Connecting the Plan; Week 5 - Connecting the Plan,Build slide deck and Loom walkthrough for Time Tracking; Send content to leadership for approval; Receive leadership signoff before kickoff; Run live team kickoff session with Success Champion co-leading; Distribute session recording; Mid-week practice check-in with Success Champion; End-of-week adoption review; Document any holdouts or follow-ups; PREP: Confirm selections catalog finalized; PREP: Test customer-facing selection experience; PREP: Get leadership signoff on selections rollout; PREP: Identify which active jobs get selections first,0
13 Week Implementation - Light; Week 6: Closing the Loop,SC: Working with the Heartbeat,Success Champion Training,job,,"Budgets are live. Champion learns to handle the weight of financial responsibility, set the precedent for surfacing mistakes.",2026-06-19,,2026-06-19,,Megan Peyton,13 Week Implementation - Light; Week 5: Connecting the Plan; Week 5 - Connecting the Plan,"Check accountability: did they complete Week 5 commitment?; Review Champion Playbook Chapter 6 with the Champion; Discuss how the team is responding to budgets being live; Identify who owns budgets day to day, how they are doing; Talk through how to handle the first budget mistake without making the team defensive; Walk through one job budget together, identify insights; Capture commitment: check budget before any cost decision this week; PREP: Review Chapter 7 (Connecting the Dots) before next session",0
13 Week Implementation - Light; Week 7: The Customer Experience,,,job,,,2026-06-22,,2026-06-26,,,,,0
13 Week Implementation - Light; Week 7: The Customer Experience,Week 7 - The Customer Experience,Deliverable Build,job,,Customer-facing selections experience goes live.,2026-06-22,,2026-06-26,,Megan Peyton,13 Week Implementation - Light; Week 6: Closing the Loop; Week 6 - Closing the Loop,Build slide deck and Loom walkthrough for Selections + Allowances; Send content to leadership for approval; Receive leadership signoff before kickoff; Run live team kickoff session with Success Champion co-leading; Distribute session recording; Mid-week practice check-in with Success Champion; End-of-week adoption review; Document any holdouts or follow-ups; PREP: Confirm all document templates branded and ready; PREP: Test e-signature workflow end to end; PREP: Get leadership signoff on proposals/contracts content; PREP: Identify first jobs to use new proposal flow,0
