Group,Name,Type,Target Type,Target ID,Description,Start Date,Start Time,End Date,End Time,Assignees,Depends On Tasks,Subtasks,Progress
RBA Projects - 12 Week JobTread Implementation,Week 0 - Discovery Review with Shelley,Task,,,Discovery Review week. Walked through JobTread System Diagnostic findings with Shelley on April 7. Rob jumped on a quick call mid-week with customer-entry questions.,2026-04-06,,2026-04-10,,,,,0
RBA Projects - 12 Week JobTread Implementation,Training Plan & System Strategy Alignment,Task,,,"Shelley & Megan working call. Nick (RenoBooks) & Megan — training plan and architecture alignment; recap sent to Nick, Shelley, Rob, and Ryan. Rob requested a walkthrough call before moving forward. Austin Woo / RBA x JobTread Integration session — lead gen and system strategy; Nick's playbook shared.",2026-04-13,,2026-04-17,,,,,0
RBA Projects - 12 Week JobTread Implementation,Implementation Sequence Lock-In,Task,,,"RBA Weekly with Ryan, Shelley, Rob. Locked in implementation sequence and timeline. Decisions: time clock switch happening, full-team kickoff April 22, compliance target May 1, April 22–30 ramp-up window. Following existing playbook as-is for first 4-6 weeks. Cascade: Time tracking → Schedules → Client-facing access → Financials. Jobs ending by end of May finish in BuilderTrend; anything past June 1 moves to JobTread; no new jobs in BuilderTrend.",2026-04-20,,2026-04-24,,,,,0
RBA Projects - 12 Week JobTread Implementation,Official Team Kickoff - Time Clock Launch,Task,,,Official JobTread Kickoff with full 20+ person team on April 22. Time clock transition begins; ramp-up window through April 30.,2026-04-27,,2026-05-01,,,,,0
RBA Projects - 12 Week JobTread Implementation,Week 4,Task,,,,2026-05-04,,2026-05-08,,,,,0
RBA Projects - 12 Week JobTread Implementation,Week 5,Task,,,,2026-05-11,,2026-05-15,,,,,0
RBA Projects - 12 Week JobTread Implementation,Week 6,Task,,,,2026-05-18,,2026-05-22,,,,,0
RBA Projects - 12 Week JobTread Implementation,Week 7,Task,,,,2026-05-25,,2026-05-29,,,,,0
RBA Projects - 12 Week JobTread Implementation,Week 8,Task,,,,2026-06-01,,2026-06-05,,,,,0
RBA Projects - 12 Week JobTread Implementation,Week 9,Task,,,,2026-06-08,,2026-06-12,,,,,0
RBA Projects - 12 Week JobTread Implementation,Week 10,Task,,,,2026-06-15,,2026-06-19,,,,,0
RBA Projects - 12 Week JobTread Implementation,Week 11,Task,,,,2026-06-22,,2026-06-26,,,,,0
RBA Projects - 12 Week JobTread Implementation,Week 12,Task,,,,2026-06-29,,2026-07-03,,,,,0
