Group,Name,Type,Target Type,Target ID,Description,Start Date,Start Time,End Date,End Time,Assignees,Depends On Tasks,Subtasks,Progress
Grande Construction - 12 Week JobTread Implementation,Week 0 - Discovery & Onboarding,Task,,,"Onboarding session with Laura and Jenny on Thursday March 19. Framing the 12-week journey. Follow-ups: team roster (names, roles, emails) for Team Usage Assessment, Phase 1 payment link.",2026-03-16,,2026-03-20,,,,,0
Grande Construction - 12 Week JobTread Implementation,Workflow Setup,Task,,,Week 1 weekly with Laura and Jenny. Building on foundational workflow setup.,2026-03-23,,2026-03-27,,,,,0
Grande Construction - 12 Week JobTread Implementation,Workflow Setup cont'd,Task,,,Week 2 weekly with Laura and Jenny (Stef added later). Continued workflow foundations.,2026-03-30,,2026-04-03,,,,,0
Grande Construction - 12 Week JobTread Implementation,Hands-on JT Training Admin,Task,,,"First hands-on JobTread training with Laura, Jenny, and Stef. Adding a buyer, creating a job, walking through the basics together.",2026-04-06,,2026-04-10,,,,,0
Grande Construction - 12 Week JobTread Implementation,"Plans, Pipeline & Selections Walkthrough",Task,,,"Week 4 weekly with Laura, Jenny, and Stef. Covered Plans vs. Documents vs. Files, new customer pipeline stages, full selections walkthrough with Stef. Action items: organize vendors/customers/jobs in their tabs, Jenny to input Brickner lead and upload docs to Granberry 88, Laura to bring a recently estimated job next week. April 30 canceled. Jenny/Megan meeting April 28 at 9:30 while Laura is away.",2026-04-13,,2026-04-17,,,,,0
Grande Construction - 12 Week JobTread Implementation,Week 5,Task,,,,2026-04-20,,2026-04-24,,,,,0
Grande Construction - 12 Week JobTread Implementation,Week 6,Task,,,,2026-04-27,,2026-05-01,,,,,0
Grande Construction - 12 Week JobTread Implementation,Full Team Office Kickoff,Task,,,Full team office kickoff (May 7).,2026-05-04,,2026-05-08,,,,,0
Grande Construction - 12 Week JobTread Implementation,Week 8,Task,,,,2026-05-11,,2026-05-15,,,,,0
Grande Construction - 12 Week JobTread Implementation,Week 9,Task,,,,2026-05-18,,2026-05-22,,,,,0
Grande Construction - 12 Week JobTread Implementation,Week 10,Task,,,,2026-05-25,,2026-05-29,,,,,0
Grande Construction - 12 Week JobTread Implementation,Week 11,Task,,,,2026-06-01,,2026-06-05,,,,,0
Grande Construction - 12 Week JobTread Implementation,Week 12,Task,,,,2026-06-08,,2026-06-12,,,,,0
