Group,Name,Type,Target Type,Target ID,Description,Start Date,Start Time,End Date,End Time,Assignees,Depends On Tasks,Subtasks,Progress
True Living - 12 Week JobTread Implementation,Week 0 - Discovery Review,Task,,,"Discovery Review with Josh and Janet on Tuesday March 17. Walked through JobTread System Diagnostic findings, gap analysis, and workflow map. Aligned on implementation priorities.",2026-03-16,,2026-03-20,,,,,0
True Living - 12 Week JobTread Implementation,Workflow Setup - Change Orders,Task,,,First weekly working session with Josh and Janet. Change order workflow surfaced (Janet sent over examples from TL 123 Sgro job).,2026-03-23,,2026-03-27,,,,,0
True Living - 12 Week JobTread Implementation,Document Templates & Dashboard Intro,Task,,,"Covered change orders, document templates, and early dashboard conversation. Josh agreed to send branded docs/color selection sheet.",2026-03-30,,2026-04-03,,,,,0
True Living - 12 Week JobTread Implementation,Budget Formulas & Success Champion Launch,Task,,,"Budget formulas discussion. Josh to build the cost sheet identifying assemblies, ranges, and mental-math items. Janet received the Success Champion Playbook. Planned full team (Matt, Mike, Jeff) joining next session.",2026-04-06,,2026-04-10,,,,,0
True Living - 12 Week JobTread Implementation,Full Team Onboarding - Schedule Deep Dive,Task,,,"First full-team session — met Matt, Mike, Jeff. Reviewed dashboard tiles, selections, and budget progress. Spent significant time on construction schedule; identified dependency gaps and ordering issues. Josh to deliver KPI list, updated budget with SF formulas, and allowance list.",2026-04-13,,2026-04-17,,,,,0
True Living - 12 Week JobTread Implementation,Budget Template Finalization,Task,,,Matt and Mike joined at the start. Covered decisions landed and action items grouped by person. Budget template corrections finalized and safe to use. Matt and Mike flagged for Loom walkthroughs on two schedules.,2026-04-20,,2026-04-24,,,,,0
True Living - 12 Week JobTread Implementation,Week 6,Task,,,,2026-04-27,,2026-05-01,,,,,0
True Living - 12 Week JobTread Implementation,Week 7,Task,,,,2026-05-04,,2026-05-08,,,,,0
True Living - 12 Week JobTread Implementation,Week 8,Task,,,,2026-05-11,,2026-05-15,,,,,0
True Living - 12 Week JobTread Implementation,Week 9,Task,,,,2026-05-18,,2026-05-22,,,,,0
True Living - 12 Week JobTread Implementation,Week 10,Task,,,,2026-05-25,,2026-05-29,,,,,0
True Living - 12 Week JobTread Implementation,Week 11,Task,,,,2026-06-01,,2026-06-05,,,,,0
True Living - 12 Week JobTread Implementation,Week 12,Task,,,,2026-06-08,,2026-06-12,,,,,0
